Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
12 10 2016,7:00 pm,MIL,105,WAS,110,Box Score,,14816,
12 11 2016,6:00 pm,PHI,97,DET,79,Box Score,,7244,
12 11 2016,9:30 pm,NYK,118,LAL,112,Box Score,,18997,
12 11 2016,7:00 pm,GSW,116,MIN,108,Box Score,,18452,
12 11 2016,7:00 pm,BOS,96,OKC,99,Box Score,,18203,
12 11 2016,8:30 pm,NOP,120,PHX,119,Box Score,OT,16949,
12 12 2016,8:30 pm,DEN,92,DAL,112,Box Score,,19425,
12 12 2016,8:00 pm,BKN,118,HOU,122,Box Score,,13619,
12 12 2016,7:00 pm,CHA,94,IND,110,Box Score,,14138,
12 12 2016,10:30 pm,POR,120,LAC,121,Box Score,,19060,
12 12 2016,7:30 pm,WAS,101,MIA,112,Box Score,,19600,
12 12 2016,10:30 pm,LAL,92,SAC,116,Box Score,,17608,
12 12 2016,7:30 pm,MIL,100,TOR,122,Box Score,,19800,
12 13 2016,7:30 pm,ORL,131,ATL,120,Box Score,,13585,
12 13 2016,8:00 pm,MIN,99,CHI,94,Box Score,,21146,
12 13 2016,7:00 pm,MEM,86,CLE,103,Box Score,,20562,
12 13 2016,8:00 pm,GSW,113,NOP,109,Box Score,,17789,
12 13 2016,9:00 pm,NYK,111,PHX,113,Box Score,OT,16429,
12 13 2016,10:30 pm,OKC,95,POR,114,Box Score,,19505,
12 14 2016,7:30 pm,LAL,97,BKN,107,Box Score,,17732,
12 14 2016,8:30 pm,DET,95,DAL,85,Box Score,,19687,
12 14 2016,8:00 pm,SAC,98,HOU,132,Box Score,,15039,
12 14 2016,8:00 pm,CLE,85,MEM,93,Box Score,,17449,
12 14 2016,7:00 pm,IND,89,MIA,95,Box Score,,19600,
12 14 2016,7:00 pm,LAC,113,ORL,108,Box Score,,18846,
12 14 2016,7:00 pm,TOR,123,PHI,114,Box Score,,16192,
12 14 2016,9:30 pm,BOS,101,SAS,108,Box Score,,18418,
12 14 2016,9:00 pm,OKC,89,UTA,109,Box Score,,19911,
